Name of Building,Address,Year of Completion,Property_Type,Location
A Hotel,123 Tung Choi Street,2013,1.0,Kowloon
A. Kun Lock Building,178 Nathan Road,1966,0.0,Kowloon
A. Lei Wah Building,8 Ashley Road,1971,0.0,Kowloon
A3 Hotel,129 Temple Street,2013,1.0,Kowloon
ABBA Commercial Building,223 Aberdeen Main Road,1983,0.0,Hong Kong Island
      Block A,225 Aberdeen Main Road,,0.0,Hong Kong Island
      Block B,227 Aberdeen Main Road,,0.0,Hong Kong Island
ABBA Shopping Mall,223 Aberdeen Main Road,1983,1.0,Hong Kong Island
Abdoolally House,20 Stanley Street,1966,0.0,Hong Kong Island
ABEO,100 Shek Pai Wan Road,1997,0.0,Kowloon
Aberdeen Baptist Church,11 Aberdeen Reservoir Road,,1.0,Hong Kong Island
Aberdeen Baptist Church,11 Aberdeen Reservoir Road,,1.0,Hong Kong Island
Aberdeen Baptist,"18 Lei Tung Estate Road,Lei Tung Estate",,0.0,Kowloon
Aberdeen Boat Club,20 Shum Wan Road,1980,0.0,Kowloon
      Hoi Chu Court,2 Nam Ning Street,1979,0.0,Kowloon
      Hoi Chun Court,4 Nam Ning Street,1979,0.0,Kowloon
      Hoi Lung Court,6 Nam Ning Street,1979,0.0,Kowloon
      Hoi Shan Court,16 Nam Ning Street,1979,0.0,Kowloon
      Hoi Tin Court,8 Nam Ning Street,1979,0.0,Kowloon
      Hoi Tsing Court,12 Nam Ning Street,1979,0.0,Kowloon
      Hoi Wu Court,14 Nam Ning Street,1979,0.0,Kowloon
      Hoi Ying Court,10 Nam Ning Street,1979,0.0,Kowloon
      Kong Cheong Court,19 Nam Ning Street,1982,0.0,Kowloon
      Kong Fu Court,23 Nam Ning Street,1982,0.0,Kowloon
      Kong Hing Court,13 Nam Ning Street,1981,0.0,Kowloon
      Kong Shing Court,21 Nam Ning Street,1982,0.0,Kowloon
      Kong Tai Court,17 Nam Ning Street,1981,0.0,Kowloon
      Kong Wing Court,15 Nam Ning Street,1981,0.0,Kowloon
      Kwun Chiu Court,3 Nam Ning Street,1981,0.0,Kowloon
      Kwun Hoi Court,5 Nam Ning Street,1981,0.0,Kowloon
      Kwun King Court,1 Nam Ning Street,1981,0.0,Kowloon
      Mei Fai Court,9 Nam Ning Street,1981,0.0,Kowloon
      Mei Fung Court,7 Nam Ning Street,1981,0.0,Kowloon
      Mei Kwong Court,11 Nam Ning Street,1981,0.0,Kowloon
Aberdeen Complex,203 Aberdeen Main Road,,0.0,Hong Kong Island
Aberdeen Fisheries & Marine Offices,100A Shek Pai Wan Road,,0.0,Kowloon
Aberdeen Harbour Mansion,52/64 Aberdeen Main Road,1972,0.0,Hong Kong Island
Aberdeen Industrial Building,236 Aberdeen Main Road,1981,0.0,Hong Kong Island
Aberdeen Jockey Club Clinic,10 Aberdeen Reservoir Road,,0.0,Hong Kong Island
Aberdeen Kaifong Welfare,180B Aberdeen Main Road,1976,0.0,Hong Kong Island
Aberdeen Sewage Screening Plant,17 Tin Wan Praya Road,,0.0,Kowloon
Aberdeen Technical School,1 Wong Chuk Hang Road,Pre 1945?,1.0,Kowloon
Aberdeen Tennis and Squash Centre,1 Aberdeen Praya Road,,0.0,Hong Kong Island
Aberdeen Wholesale Fish Market,102 Shek Pai Wan Road,1963,0.0,Kowloon
Able Building,15 Street Francis Yard,1996,0.0,Kowloon
Abounding Grace Baptist Church,200 Po Kong Village Road,,1.0,Kowloon
Academic Terrace,101 Pok Fu Lam Road,1989,0.0,Hong Kong Island
Acme Building,22/28 Nanking Street,1983,0.0,Kowloon
Acro Industrial Building,19 Yuk Yat Street,1978,0.0,Kowloon
Adjoining Building,Ground Floor:279 & 283 Shanghai StreetUpper Floors:281 Shanghai Street,1976,0.0,Kowloon
Admiralty Centre,18 Harcourt Road,1980,0.0,Hong Kong Island
Adventure Ship,200 Shum Wan Road,1995,0.0,Kowloon
Aegean Terrace,60 Sassoon Road,1990,0.0,Hong Kong Island
Agatha House,Ground Floor:174/184A Temple Street &19 Ning Po StreetUpper Floors:21 Ning Po Street,1965,0.0,Kowloon
AIA Building,1 Stubbs Road,1969,0.0,Hong Kong Island
AIA Central,1 Connaught Road C.,2005,0.0,Kowloon
AIA Financial Centre,712 Prince Edward Rd E,2009,0.0,Kowloon
AIA Hong Kong Tower,734 Kings Rd,1965,0.0,Kowloon
AIA Kowloon Tower,100 How Ming StreetLandmark East,2008,0.0,Kowloon
AIA Tower,183 Electric Road,1998,0.0,Hong Kong Island
AIE Building,33 Connaught Road C.,1976,0.0,Kowloon
Aigburth,12 Tregunter Path,1999,0.0,Kowloon
Aik San Mansion,"Ground Floor:355, 359 & 361 King's RoadUpper Floors:357 King's Road",1977,0.0,Hong Kong Island
