Name of Building,Address,Year of Completion,Property_Type,Location
"A. Sun Plaza
      *????","3 San Hop Lane,
Tuen Mun",1997,,New Territories
"A.D. & F.D. of Pok Oi Hospital
      Mrs. Cheng Yam On
      Millennium School
      ???????????
      ?????????","111 So Kwun Wat Rd.,
Tuen Mun",-,,New Territories
"Abiding Kindergarten
      ?????","DD 115 NPWHL 239 238
& Lot 102 A1,
1st Lane Nam Pin Wai,
Shap Pat Heung, Yuen Long",-,,New Territories
Acacia Villa,"60 Cheung Sha Sheung
Tsuen, Lantau Island",1997,,New Territories
"Advanced Technology Centre
      ????","2 Choi Fat St.,
Sheung Shui",1995,,New Territories
"Aegean Coast
      ????","2 Kwun Tsing Rd.,
Tuen Mun",2002,,New Territories
"Aegean Villa
      ???","5 Silver Cape Rd.,
Silverstrand, Sai Kung",1995,,New Territories
"AFCD Ta Kwu Ling Operation Centre
      ???????
      ???????","185 Ping Che Rd.,
Ta Kwu Ling",-,,New Territories
"Affluence Garden
      *????","33 Tsing Chung Koon Rd.,
Tuen Mun
(See Appendix IV)",1989,,New Territories
"Ai Ching Yuen
      ???","DD 186 Lot 370 RP & etc
Off Tai Po Rd. Sha Tin
Sha Tin",1966,,New Territories
Air House,"DD 223 Lot 232,
Clear Water Bay Rd.",1988,,New Territories
"Air Mail Centre
      ????","9 Catering Rd. W.,
Chek Lap Kok",-,,New Territories
"Air Traffic Control Complex
      ????????","1 Control Tower Rd.,
Chek Lap Kok",-,,New Territories
Airfield Control Centre,"2 Control Tower Rd.,
Chek Lap Kok",-,,New Territories
"Airport Authority Building
      ???????","1 Cheong Yip Rd.,
Chek Lap Kok",1998,,New Territories
"Airport Authority Kwo Lo Wan Office
      ???????????","8 Chun Yue Rd.,
Chek Lap Kok",1997,,New Territories
"Airport Freight Forwarding Centre
      ??????","2 Chun Wan Rd.,
Chek Lap Kok",1998,,New Territories
"Airport Freight Forwarding Centre
      Commercial Building
      ??????????","2 Chun Wan Rd.,
Chek Lap Kok",1998,,New Territories
"AJI Ichiban Centre
      ??????","18 Wing Kei Rd.,
Kwai Chung",1994,,New Territories
Albert Villa,"25/27A Sha Tin Heights Rd.,
Sha Tin",1967,,New Territories
Alexandra Villa,"DD CC 1155,
Off Cheung Chau Peak Rd.,
Cheung Chau",1980,,New Territories
"Alliance Bible Seminary
      ?????","22 Cheung Chau Peak Rd.,
Cheung Chau",1959,,New Territories
"Alliance Primary School Sheung Shui
      ??????","2 Wo Muk Rd.,
Fanling",-,,New Territories
"Allied Cargo Centre
      ??????","150/164 Texaco Rd.,
Tsuen Wan",1991,,New Territories
"Allway Gardens
      *????",Tsuen Wan,,,New Territories
"      Block A
      A?",195 Tsuen King Circuit,1978,,New Territories
"      Block B
      B?",193 Tsuen King Circuit,1978,,New Territories
"      Block C
      C?",191 Tsuen King Circuit,1978,,New Territories
"      Block D
      D?",189 Tsuen King Circuit,1978,,New Territories
"      Block E
      E?",187 Tsuen King Circuit,1978,,New Territories
"      Block F
      F?",22 On Yat St.,1980,,New Territories
"      Block G
      G?",20 On Yat St.,1980,,New Territories
"      Block H
      H?",18 On Yat St.,1980,,New Territories
"      Block J
      J?",16 On Yat St.,1980,,New Territories
"      Block K
      K?",14 On Yat St.,1979,,New Territories
"      Block L
      L?",12 On Yat St.,1980,,New Territories
"      Block M
      M?",10 On Yat St.,1980,,New Territories
"      Block N
      N?",8 On Yat St.,1980,,New Territories
"      Block P
      P?",6 On Yat St.,1981,,New Territories
"      Block Q
      Q?",4 On Yat St.,1981,,New Territories
"      Block R
      R?",2 On Yat St.,1981,,New Territories
"Alpha Appliances Building
      ??????","21 Po Wan Rd.,
Sheung Shui",1992,,New Territories
"Alpine Garden
      *???","350 Castle Peak Rd.
Castle Peak Bay, Tuen Mun",1991,,New Territories
American School Hong Kong,"6 Ma Chung Rd.,
Tai Po",,,New Territories
"An Yuen
      ??","116 Ha Wo Che Tsuen,
Sha Tin",-,,New Territories
"Anchors International Nursery
      ????????","1 Hung Lam Drive,
Constellation Cove,
Tai Po",-,,New Territories
"Anglers' Bay
      ???","18A Castle Peak Rd.
Tsing Lung Tau",2004,,New Territories
"Annking Industrial Building
      *??????","22 Wang Yip St. E.,
Yuen Long",1983,,New Territories
"Anton Villa
      ???","313 Castle Peak Rd. Ting Kau,
Tsuen Wan",1951,,New Territories
"Apt Telepark
      ???????","2 Dai Hei St.,
Tai Po Industrial Estate,
Tai Po",2003,,New Territories
"Aqua Blue
      ???","28 Tsing Fat St.,
Tuen Mun",2002,,New Territories
"Aquamarine Garden
      ????","8 Tsing Yan St.,
Tuen Mun",1994,,New Territories
"Arcadia
      ??","99 Chuk Yeung Rd.,
Sai Kung",1987,,New Territories
Archei Villa,"65/67 Sheung Sze Wan,
Clear Water Bay",1980,,New Territories
"Arcourt Garden
      *???","1A Po Tung Rd.,
Sai Kung",-,,New Territories
"Arnold Gardens
      *????","6 Tan Kwai Tsuen,
Hung Shui Kiu",1984,,New Territories
"Arronville
      ???","249A Nai Wai,
Tuen Mun",-,,New Territories
"Asbury Methodist Primary School
      ???????","Lai King Estate,
Kwai Chung",-,,New Territories
Ascension House,"DD 186 Lot 380 RP
Off Tai Po Rd. Sha Tin",-,,New Territories
"Ascot Heights
      *???","21 Lok Lam Rd.,
Sha Tin",1983,,New Territories
"Ascot Park
      *???","1 Kam Tsin Path,
Kwu Tung",2000,,New Territories
"Ascot Villa
      *????","39/41 Sha Tin Heights Rd.,
Sha Tin",1974,,New Territories
"Asia Airfreight Terminal
      ??????","10 Chun Ping Rd.,
Chek Lap Kok",1998,,New Territories
"Asia Trade Centre
      ??????","79 Lei Muk Rd.,
Kwai Chung",1997,,New Territories
Asiaciti Gardens,"6 Fung Sau Rd.,
Sai Kung",1981,,New Territories
"Asiatone I-Centre
      ??????","1 Wang Wo Tsai St.,
Tsuen Wan",1995,,New Territories
"AsiaWorld-Expo
      ???????","1 Airport Expo Boulevard,
Chek Lap Kok",2005,,New Territories
"Aster Court
      ???","8 Hung Tai Rd.,
Hung Shui Kiu, Yuen Long",1992,,New Territories
