Name of Building,Address,Year of Completion,Property_Type,Location
A Hotel,123 Tung Choi St.,2013,,
"A. Kun Lock Building
      ????",178 Nathan Rd.,1966,,
"A. Lei Wah Building
      *???",8 Ashley Rd.,1971,,
A3 Hotel,129 Temple St.,2013,,
"ABBA Commercial Building
      *??????",223 Aberdeen Main Rd.,1983,,
"ABBA House
      ????",,1983,,
"      Block A
      A?",225 Aberdeen Main Rd.,,,
"      Block B
      B?",227 Aberdeen Main Rd.,,,
"ABBA Shopping Mall
      ????",223 Aberdeen Main Rd.,1983,,
"Abdoolally House
      ??????",20 Stanley St.,1966,,
ABEO,100 Shek Pai Wan Rd.,1997,,
"Aberdeen Baptist Church
      ???????",11 Aberdeen Reservoir Rd.,-,,
"Aberdeen Baptist Church
      Pak Kwong Kindergarten
      ???????????",11 Aberdeen Reservoir Rd.,-,,
"Aberdeen Baptist
      Lui Ming Choi College
      ???????????","18 Lei Tung Estate Rd.,
Lei Tung Estate",-,,
"Aberdeen Boat Club
      ??????",20 Shum Wan Rd.,1980,,
"Aberdeen Centre
      ?????",,,,
"      Hoi Chu Court
      *???",2 Nam Ning St.,1979,,
"      Hoi Chun Court
      *???",4 Nam Ning St.,1979,,
"      Hoi Lung Court
      *???",6 Nam Ning St.,1979,,
"      Hoi Shan Court
      *???",16 Nam Ning St.,1979,,
"      Hoi Tin Court
      *???",8 Nam Ning St.,1979,,
"      Hoi Tsing Court
      *???",12 Nam Ning St.,1979,,
"      Hoi Wu Court
      *???",14 Nam Ning St.,1979,,
"      Hoi Ying Court
      *???",10 Nam Ning St.,1979,,
"      Kong Cheong Court
      ???",19 Nam Ning St.,1982,,
"      Kong Fu Court
      ???",23 Nam Ning St.,1982,,
"      Kong Hing Court
      ???",13 Nam Ning St.,1981,,
"      Kong Shing Court
      ???",21 Nam Ning St.,1982,,
"      Kong Tai Court
      ???",17 Nam Ning St.,1981,,
"      Kong Wing Court
      ???",15 Nam Ning St.,1981,,
"      Kwun Chiu Court
      *???",3 Nam Ning St.,1981,,
"      Kwun Hoi Court
      *???",5 Nam Ning St.,1981,,
"      Kwun King Court
      *???",1 Nam Ning St.,1981,,
"      Mei Fai Court
      *???",9 Nam Ning St.,1981,,
"      Mei Fung Court
      *???",7 Nam Ning St.,1981,,
"      Mei Kwong Court
      *???",11 Nam Ning St.,1981,,
"Aberdeen Complex
      ???????",203 Aberdeen Main Rd.,-,,
"Aberdeen Fisheries & Marine Offices
      ??????????",100A Shek Pai Wan Rd.,-,,
"Aberdeen Harbour Mansion
      *????",52/64 Aberdeen Main Rd.,1972,,
"Aberdeen Industrial Building
      *???????",236 Aberdeen Main Rd.,1981,,
"Aberdeen Jockey Club Clinic
      ???????????",10 Aberdeen Reservoir Rd.,-,,
"Aberdeen Kaifong Welfare
      Association Social Services Centre
      ??????????????",180B Aberdeen Main Rd.,1976,,
"Aberdeen Sewage Screening Plant
      ????????",17 Tin Wan Praya Rd.,-,,
"Aberdeen Technical School
      ???????",1 Wong Chuk Hang Rd.,Pre 1945?,,
"Aberdeen Tennis and Squash Centre
      ??????????",1 Aberdeen Praya Rd.,-,,
"Aberdeen Wholesale Fish Market
      ?????????",102 Shek Pai Wan Rd.,1963,,
*Abergeldie,52 Plantation Rd.,1993,,
"Able Building
      ????",15 St. Francis Yard,1996,,
"Abounding Grace Baptist Church
      ?????",200 Po Kong Village Rd.,-,,
"Academic Terrace
      *???",101 Pok Fu Lam Rd.,1989,,
"      Blocks 1 - 3
      1 - 3?",,,,
"Acme Building
      ????",22/28 Nanking St.,1983,,
"Acro Industrial Building
      *??????",19 Yuk Yat St.,1978,,
"Adjoining Building
      ??????","Ground Floor:
279 & 283 Shanghai St.
Upper Floors:
281 Shanghai St.",1976,,
"Admiralty Centre
      ????",18 Harcourt Rd.,1980,,
"Adventure Ship
      ???",200 Shum Wan Rd.,1995,,
"Aegean Terrace
      *???",60 Sassoon Rd.,1990,,
"Agatha House
      *????","Ground Floor:
174/184A Temple St. &
19 Ning Po St.
Upper Floors:
21 Ning Po St.",1965,,
"AIA Building
      ????",1 Stubbs Rd.,1969,,
"AIA Central
      ??????",1 Connaught Rd. C.,2005,,
"AIA Financial Centre
      ????????",712 Prince Edward Rd E,2009,,
"AIA Hong Kong Tower
      ??????",734 King’s Rd,1965,,
"AIA Kowloon Tower
      ??????","100 How Ming St.
Landmark East",2008,,
"AIA Tower
      ????",183 Electric Rd.,1998,,
"AIE Building
      *????",33 Connaught Rd. C.,1976,,
"Aigburth
      ???",12 Tregunter Path,1999,,
"Aik San Mansion
      *????","Ground Floor:
355, 359 & 361 King's Rd.
Upper Floors:
357 King's Rd.",1977,,
"Air Goal Cargo Building
      *??????",330 Kwun Tong Rd.,1991,,
"Aitken Vanson Centre
      ?????",61 Hoi Yuen Rd.,1998,,
"Ajisen Group Tower (Units B)
      ??????(B?)",24/26 Sze Shan St.,1978,,
"Al-Aqmar House
      ????",30 Hollywood Rd.,1983,,
"Alassio
      ??",100 Caine Rd.,2016,,
"Albany Court
      ???",51 Bisney Rd.,1993,,
"Albert House
      *????","Ground Floor:
20/24, 28 Chengtu Rd. &
12 Sai On St.
Upper Floors:
26 Chengtu Rd.",1973,,
"Albion Gardens
      *????",17-21 La Salle Rd.,1981,,
"Albion Plaza
      ??????",2-6 Granville Rd.,1983,,
"Albron Court
      *???",99 Caine Rd.,1985,,
"Aldrich Bay Government
      Primary School
      ????????",1 Oi Lai St.,-,,
"Aldrich Bay Integrated 
      Services Building 
      ??????????",15 Aldrich Bay Rd.  ,-,,
"Aldrich Garden
      ???","2 Oi Lai St.
(See Appendix V)",2000,,
"      Blocks 1-10
      ?1?10?",(See Appendix V),,,
"Aldrich House
      *????","Ground Floor:
369/373 Shau Kei Wan
Rd. & 1/3 Aldrich St.
Upper Floors:
373 Shau Kei Wan Rd.",1966,,
"Alexandra House
      ????",18 Chater Rd.,1976,,
"Alexandra Industrial Building
      *??????","Ground Floor:
1064/1066 Tung Chau
West St.
Upper Floors:
62 King Lam St. &
27 Wing Hong St.",1971,,
Alford House,3 Upper Albert Rd.,1955,,
"Alfred House
      ???",9 On Lan St.,1976,,
"Alhambra Building
      *????","Ground Floor:
383/389C Nathan Rd. &
15-17 Kansu St.
Upper Floors:
385 Nathan Rd.",1960,,
"Alice Court
      *???",10 Tsat Tsz Mui Rd.,1977,,
"Alice Court
      *???",43 Broadcast Drive,1971,,
"All Fit Garden
      *???",20/22 Bonham Rd.,1993,,
"All Saints' Church
      ???",2 Yim Po Fong St.,1950,,
"Alliance Building
      *????","Ground Floor:
130-132 & 134-136
Connaught Rd. C.
Upper Floors:
133 Connaught Rd. C.",1975,,
"Alliance Primary School
      Kowloon Tong
      ???????",2 Lancashire Rd.,-,,
"Alliance Primary School
      Tai Hang Tung
      ???????",13 Tong Yam St.,-,,
"Alliance Primary School Whampoa
      ??????",21 Tak Fung St.,-,,
"Allied Kajima Building
      ??????",138 Gloucester Rd.,1990,,
"Allied Plaza
      ????","G/F – 3/F
760 Nathan Rd.",1973,,
"Allways Centre
      *????",468 Jaffe Rd.,1995,,
"Alpha Court
      *??",95/99 Tai Hang Rd.,1959,,
"Alpha House
      *????",27/33 Nathan Rd.,1964,,
"Alpine Court
      *????",12 Kotewall Rd.,1971,,
Altadena House,27 Barker Rd.,1974,,
"Altro
      ??","Ground Floor:
118 Second St.
Upper Floors:
116 Second St.",2014,,
"Amber Commercial Building
      ??????","Ground Floor:
70-72 Morrison Hill Rd.
Upper Floors:
74 Morrison Hill Rd.",1980,,
"Amber Garden
      ???",110 Blue Pool Rd.,1976,,
"Amber Garden
      *??",70-72 Kennedy Rd.,1981,,
"Amber House
      *???","Ground Floor:
777, 777A, 779 &
781 Nathan Rd.
Upper Floors:
777/781 Nathan Rd.",1978,,
"Amber Lodge
      ???",23 Hollywood Rd.,1998,,
"Amber Lodge
      *???",40/52 Mount Butler Drive,1971,,
"Amber Lodge
      ???",50 Mount Butler Drive,2014,,
"American International School
      ??????",121 Waterloo Rd.,-,,
"Amigo Mansion
      *????",79A Wong Nai Chung Rd.,1975,,
"Amity House
      ????",2/8 Hop Yat Rd.,1958,,
"Amoy Building
      ???",29 & 31 Amoy St.,1977,,
"Amoy Gardens
      ????",77 Ngau Tau Kok Rd.,1981,,
"Amoy Plaza
      ????",77 Ngau Tau Kok Rd.,1981,,
"Amoycan Industrial Centre
      ?????",7 Ngau Tau Kok Rd.,1961,,
"Ample Building
      *????","Basement:
1 Woh Chai St.
Ground &
Upper Ground Floors:
1, 5-9 &13 Woh Chai St.
Upper Floors:",1980,,
"      East Block
      ??",3 Woh Chai St.,,,
"      West Block
      ??",11 Woh Chai St.,,,
